node,side
0,1
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,0
28,1
29,1
30,0
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,0
75,1
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,1
91,0
92,1
93,0
94,1
95,0
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,0
108,0
109,1
110,0
111,0
112,0
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,0
130,1
131,1
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,0
140,1
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,0
158,1
159,1
160,1
161,0
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,0
176,0
177,1
178,1
179,0
